Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Attachment,Custom field (Actual end),Custom field (Actual result),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Link),Custom field (Expected Result),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Steps),Custom field (Test level),Custom field (Testcase Result),Custom field (Total forms),Custom field ([CHART] Date of First Response),Status Category
P26 - Verify Payment- Provinces cannot be left blank,NC-48,10351,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,04/Jan/23 3:44 PM,04/Jan/23 4:26 PM,04/Jan/23 4:26 PM,,,0,Payment,Provinces cannot be left blank,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,,,,,,,,,,,,,,,,,,,,,,NC-46,,,Provinces cannot be left blank,,,,,,,,NC-6,Provinces cannot be left blank,,,,,,0|i0025j:,,NC Sprint 1,,,,,,,,"1)nhập dữ liệu
2)nhấn submit",Unit,Pass,,,To Do
P25 - Verify Payment- Address cannot be empty,NC-47,10350,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,04/Jan/23 3:44 PM,04/Jan/23 4:26 PM,04/Jan/23 4:26 PM,,,0,Payment,Address cannot be empty,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,,,,,,,,,,,,,,,,,,,,,,NC-46,,,Address cannot be empty,,,,,,,,NC-6,Address cannot be empty,,,,,,0|i0025b:,,NC Sprint 1,,,,,,,,"1)nhập dl
2)nhấn submit",Unit,Pass,,,To Do
P24 - Verify Payment- Full name cannot be deleted,NC-46,10349,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,04/Jan/23 3:43 PM,04/Jan/23 4:26 PM,04/Jan/23 4:26 PM,,,0,Payment,Full name cannot be deleted,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,,,,,,,,NC-47,NC-48,NC-49,,,,,,,,,,,,NC-44,,,Full name cannot be deleted,,,,,,,,NC-6,Full name cannot be deleted,,,,,,0|i00253:,,NC Sprint 1,,,,,,,,"1)nhập dl
2)nhấn submit",Unit,Pass,,,To Do
IP16 - If user does not enter .com email field error message,NC-45,10348,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Hải Lý Nguyễn,628b1ae940b157006f720673,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Hải Lý Nguyễn,628b1ae940b157006f720673,04/Jan/23 3:42 PM,04/Jan/23 3:51 PM,04/Jan/23 4:59 PM,,,0,Registration,Data test: “duybrosadboy@gmail“,,Hải Lý Nguyễn,628b1ae940b157006f720673,,,,,,,,,,,,,,,,,,,,,,,,04/Jan/23 3:45 PM;628b1ae940b157006f720673;image-20230104-084522.png;https://lenguyenanhduy.atlassian.net/secure/attachment/10257/image-20230104-084522.png,,As expected,,,,,,,,NC-2,If user does not enter .com email field error message,,,,,,0|i0024v:,,NC Sprint 1,,,,,,,,"Step1: Input data
Step2: Submit",Integratiom,Pass,,,To Do
P23 - Verify Payment- Phone number cannot be blank,NC-44,10347,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,04/Jan/23 3:41 PM,04/Jan/23 4:26 PM,04/Jan/23 4:25 PM,,,0,Payment,Phone number cannot be blank,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,,,,,,,,NC-46,,,,,,,,,,,,,,NC-41,,,Phone number cannot be blank,,,,,,,,NC-6,Phone number cannot be blank,,,,,,0|i0024n:,,NC Sprint 1,,,,,,,,"1)nhập dl
2)nhấn submit",Unit,Pass,,,To Do
"IP15 - If the user does not enter the @ character in the email field, error message",NC-43,10346,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Hải Lý Nguyễn,628b1ae940b157006f720673,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Hải Lý Nguyễn,628b1ae940b157006f720673,04/Jan/23 3:41 PM,04/Jan/23 3:45 PM,04/Jan/23 4:59 PM,,,0,Registration,Data test: “duybrosadboygmail.com“,,Hải Lý Nguyễn,628b1ae940b157006f720673,,,,,,,,,,,,,,,,,,,,,,,,04/Jan/23 3:42 PM;628b1ae940b157006f720673;image-20230104-084205.png;https://lenguyenanhduy.atlassian.net/secure/attachment/10255/image-20230104-084205.png,,As expected,,,,,,,,NC-2,"If the user does not enter the @ character in the email field, error message",,,,,,0|i0024f:,,NC Sprint 1,,,,,,,,"Step1: Input data
Step2: Submit",Integratiom,Pass,,,To Do
C22 - Verify Cart - Press the delete icon to display the continue shopping button,NC-42,10345,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,04/Jan/23 3:40 PM,04/Jan/23 4:25 PM,04/Jan/23 4:25 PM,,,0,Cart,Press the delete icon to display the continue shopping button,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,,,,,,,,,,,,,,,,,,,,,,NC-41,,,Press the delete icon to display the continue shopping button,,,,,,,,NC-5,Press the delete icon to display the continue shopping button,,,,,,0|i00247:,,NC Sprint 1,,,,,,,,"1)nhập dl
2)nhấn submit",Unit,Pass,,,To Do
C21 - Verify Cart - Quantity must not exceed 50 . in stock,NC-41,10344,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,04/Jan/23 3:39 PM,04/Jan/23 4:25 PM,04/Jan/23 4:25 PM,,,0,Cart,Quantity must not exceed 50 . in stock,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,,,,,,,,NC-42,NC-44,,,,,,,,,,,,,NC-39,,,Quantity must not exceed 50 . in stock,,,,,,,,NC-5,Quantity must not exceed 50 . in stock,,,,,,0|i0023z:,,NC Sprint 1,,,,,,,,"1)nhập dl
2)nhấn submit",Unit,Pass,,,To Do
"IP14 - If the user does not enter the password field, the error message",NC-40,10343,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Hải Lý Nguyễn,628b1ae940b157006f720673,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Hải Lý Nguyễn,628b1ae940b157006f720673,04/Jan/23 3:39 PM,04/Jan/23 3:42 PM,04/Jan/23 4:59 PM,,,0,Registration,Data test: ““,,Hải Lý Nguyễn,628b1ae940b157006f720673,,,,,,,,,,,,,,,,,,,,,,,,04/Jan/23 3:40 PM;628b1ae940b157006f720673;image-20230104-084009.png;https://lenguyenanhduy.atlassian.net/secure/attachment/10253/image-20230104-084009.png,,As expected,,,,,,,,NC-2,"If the user does not enter the password field, the error message",,,,,,0|i0023r:,,NC Sprint 1,,,,,,,,"Step1: Input data
Step2: Submit",Integratiom,Pass,,,To Do
S20 - Verify Search- Search name cannot be left blank,NC-39,10342,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,04/Jan/23 3:37 PM,04/Jan/23 4:25 PM,04/Jan/23 4:24 PM,,,0,ForgotPassword,Search name cannot be left blank,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,,,,,,,,NC-41,,,,,,,,,,,,,,NC-36,,,,,,,,,,,NC-3,Search name cannot be left blank,,,,,,0|i0023j:,,NC Sprint 1,,,,,,,,"1)nhập dl
2)nhấn submit",Unit,Pass,,,To Do
"IP13 - If the user does not enter the email field, the error message",NC-38,10341,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Hải Lý Nguyễn,628b1ae940b157006f720673,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Hải Lý Nguyễn,628b1ae940b157006f720673,04/Jan/23 3:37 PM,04/Jan/23 3:40 PM,04/Jan/23 4:59 PM,,,0,Registration,Data test: ““,,Hải Lý Nguyễn,628b1ae940b157006f720673,,,,,,,,,,,,,,,,,,,,,,,,04/Jan/23 3:38 PM;628b1ae940b157006f720673;image-20230104-083848.png;https://lenguyenanhduy.atlassian.net/secure/attachment/10251/image-20230104-083848.png,,As expected,,,,,,,,NC-2,"If the user does not enter the email field, the error message",,,,,,0|i0023b:,,NC Sprint 1,,,,,,,,"Step1: Input data
Step2: Submit",Integratiom,Pass,,,To Do
"IP12 - If the user leaves the last name blank, an error is reported",NC-37,10340,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Hải Lý Nguyễn,628b1ae940b157006f720673,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Hải Lý Nguyễn,628b1ae940b157006f720673,04/Jan/23 3:33 PM,04/Jan/23 3:38 PM,04/Jan/23 4:59 PM,,,0,Registration,Data test: ““,,Hải Lý Nguyễn,628b1ae940b157006f720673,,,,,,,,,,,,,,,,,,,,,,,NC-29,04/Jan/23 3:36 PM;628b1ae940b157006f720673;image-20230104-083622.png;https://lenguyenanhduy.atlassian.net/secure/attachment/10249/image-20230104-083622.png,,As expected,,,,,,,,NC-2,"If the user leaves the last name blank, an error is reported",,,,,,0|i00233:,,NC Sprint 1,,,,,,,,"Step1: Input data
Step2: Submit",Integratiom,Pass,,,To Do
FP19 - Verify Forgot password- Forgot password email must match the registered email,NC-36,10339,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,04/Jan/23 3:33 PM,04/Jan/23 4:24 PM,04/Jan/23 4:24 PM,,,0,Search,Forgot password email must match the registered email,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,,,,,,,,NC-39,,,,,,,,,,,,,,NC-19,,,Forgot password email must match the registered email,,,,,,,,NC-4,Forgot password email must match the registered email,,,,,,0|i0022v:,,NC Sprint 1,,,,,,,,"1)nhập dl
2)nhấn submit",Unit,Pass,,,To Do
FP18 - Verify Forgot password- Forgot password email cannot be blank,NC-35,10338,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,04/Jan/23 3:33 PM,04/Jan/23 4:24 PM,04/Jan/23 4:24 PM,,,0,ForgotPassword,Forgot password email cannot be blank,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,,,,,,,,,,,,,,,,,,,,,,NC-19,,,Forgot password email cannot be blank,,,,,,,,NC-3,Forgot password email cannot be blank,,,,,,0|i0022n:,,NC Sprint 1,,,,,,,,"1)nhập dl
2)nhấn submit",Unit,Pass,,,To Do
R16 - Verify Registration- Registration password cannot be blank,NC-33,10336,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,04/Jan/23 3:31 PM,04/Jan/23 4:23 PM,04/Jan/23 4:23 PM,,,0,Registration,Registration password cannot be blank,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,,,,,,,,,,,,,,,,,,,,,,NC-19,,,,,,,,,,,NC-2,Registration password cannot be blank,,,,,,0|i00227:,,NC Sprint 1,,,,,,,,"1)nhập dl
2)nhấn submit",Unit,Pass,,,To Do
R15 - Verify Registration- Registered email is not in the correct format abc@gmail.com,NC-32,10335,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,04/Jan/23 3:30 PM,04/Jan/23 4:23 PM,04/Jan/23 4:23 PM,,,0,Registration,Registered email is not in the correct format [abc@gmail.com|mailto:abc@gmail.com],,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,,,,,,,,,,,,,,,,,,,,,,NC-19,,,Registered email is not in the correct format abc@gmail.com,,,,,,,,NC-2,Registered email is not in the correct format abc@gmail.com,,,,,,0|i0021z:,,NC Sprint 1,,,,,,,,"1)nhập dl
2)nhấn submit",Unit,Pass,,,To Do
R14 - Verify Registration- Registered email cannot be left blank,NC-31,10334,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,04/Jan/23 3:30 PM,04/Jan/23 4:23 PM,04/Jan/23 4:23 PM,,,0,Registration,Registered email cannot be left blank,,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,,,,,,,,,,,,,,,,,,,,,,NC-19,,,,,,,,,,,NC-2,Registered email cannot be left blank,,,,,,0|i0021r:,,NC Sprint 1,,,,,,,,"1)nhập dl
2)nhấn submit",Unit,Pass,,,To Do
"IP11 - If user leaves first name blank, error message",NC-29,10332,Story,To Do,NC,N6_CD21CT8,software,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,,Medium,,Hải Lý Nguyễn,628b1ae940b157006f720673,Anh Duy Lê Nguyễn,628cefa2cf01a10069ad162f,Hải Lý Nguyễn,628b1ae940b157006f720673,04/Jan/23 3:29 PM,04/Jan/23 3:33 PM,04/Jan/23 4:59 PM,,,0,Registration,Data test: ““,,Hải Lý Nguyễn,628b1ae940b157006f720673,,,,,,,,,NC-37,,,,,,,,,,,,,,,04/Jan/23 3:32 PM;628b1ae940b157006f720673;image-20230104-083245.png;https://lenguyenanhduy.atlassian.net/secure/attachment/10247/image-20230104-083245.png,,As expected,,,,,,,,NC-2,"If user leaves first name blank, error message",,,,,,0|i0021b:,,NC Sprint 1,,,,,,,,"Step1: Input data
Step2: Submit",Integratiom,Pass,,,To Do
